INGDWTD INDIGENOUS HOUSEHOLD INDICATOR,STATE,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Household with Aboriginal and/or Torres Strait Islander person(s),New South Wales,47.0,279.0,417.0,67.0,0.0,1124.0,2390.0,89.0,293.0,392399.0,397107.0,2021
Household with Aboriginal and/or Torres Strait Islander person(s),Victoria,16.0,646.0,91.0,30.0,0.0,258.0,658.0,7.0,72.0,98722.0,100494.0,2021
Household with Aboriginal and/or Torres Strait Islander person(s),Queensland,287.0,753.0,429.0,69.0,0.0,3027.0,4660.0,133.0,351.0,317319.0,327024.0,2021
Household with Aboriginal and/or Torres Strait Islander person(s),South Australia,4.0,599.0,90.0,21.0,0.0,502.0,665.0,9.0,30.0,56680.0,58603.0,2021
Household with Aboriginal and/or Torres Strait Islander person(s),Western Australia,75.0,31.0,266.0,35.0,0.0,1714.0,1953.0,21.0,68.0,104719.0,108892.0,2021
Household with Aboriginal and/or Torres Strait Islander person(s),Tasmania,3.0,54.0,85.0,10.0,0.0,102.0,135.0,4.0,26.0,43570.0,43988.0,2021
Household with Aboriginal and/or Torres Strait Islander person(s),Northern Territory,135.0,152.0,207.0,0.0,0.0,9725.0,4561.0,33.0,13.0,48094.0,62927.0,2021
Household with Aboriginal and/or Torres Strait Islander person(s),Australian Capital Territory,0.0,109.0,22.0,3.0,0.0,28.0,81.0,0.0,0.0,13209.0,13454.0,2021
Household with Aboriginal and/or Torres Strait Islander person(s),Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,245.0,2021
Other households,New South Wales,250.0,435.0,3120.0,992.0,0.0,13507.0,27561.0,548.0,2026.0,7070886.0,7119330.0,2021
Other households,Victoria,60.0,3938.0,2126.0,799.0,0.0,8811.0,18669.0,252.0,1637.0,5929768.0,5966057.0,2021
Other households,Queensland,386.0,1345.0,3675.0,482.0,0.0,4813.0,9689.0,948.0,2947.0,4382684.0,4406959.0,2021
Other households,South Australia,35.0,937.0,1057.0,200.0,0.0,1845.0,3862.0,120.0,464.0,1591922.0,1600452.0,2021
Other households,Western Australia,120.0,70.0,1425.0,197.0,0.0,1217.0,3381.0,402.0,942.0,2297679.0,2305440.0,2021
Other households,Tasmania,19.0,197.0,437.0,76.0,0.0,609.0,1295.0,75.0,213.0,466758.0,469684.0,2021
Other households,Northern Territory,62.0,31.0,212.0,6.0,0.0,178.0,491.0,118.0,205.0,138815.0,140123.0,2021
Other households,Australian Capital Territory,0.0,309.0,237.0,66.0,0.0,423.0,936.0,0.0,16.0,408973.0,410963.0,2021
Other households,Other Territories,0.0,0.0,0.0,0.0,0.0,7.0,18.0,0.0,0.0,3383.0,3405.0,2021
Not applicable,New South Wales,654.0,4330.0,548.0,7785.0,1423.0,0.0,0.0,3.0,12.0,521345.0,536091.0,2021
Not applicable,Victoria,953.0,3237.0,320.0,7753.0,1583.0,0.0,0.0,5.0,3.0,379590.0,393437.0,2021
Not applicable,Queensland,1381.0,2019.0,880.0,2418.0,488.0,0.0,0.0,10.0,16.0,454541.0,461754.0,2021
Not applicable,South Australia,287.0,953.0,181.0,437.0,255.0,0.0,0.0,0.0,0.0,112093.0,114199.0,2021
Not applicable,Western Australia,2126.0,1499.0,450.0,401.0,110.0,0.0,0.0,11.0,15.0,250422.0,255034.0,2021
Not applicable,Tasmania,204.0,276.0,72.0,175.0,29.0,0.0,0.0,0.0,0.0,38437.0,39194.0,2021
Not applicable,Northern Territory,465.0,1624.0,250.0,60.0,42.0,0.0,0.0,6.0,8.0,55805.0,58258.0,2021
Not applicable,Australian Capital Territory,56.0,442.0,19.0,64.0,6.0,0.0,0.0,0.0,6.0,27295.0,27889.0,2021
Not applicable,Other Territories,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1772.0,1771.0,2021
Total,New South Wales,956.0,5035.0,4088.0,8843.0,1423.0,14632.0,29956.0,642.0,2331.0,7984621.0,8052530.0,2021
Total,Victoria,1022.0,7820.0,2531.0,8578.0,1583.0,9068.0,19334.0,257.0,1716.0,6408081.0,6459990.0,2021
Total,Queensland,2051.0,4119.0,4981.0,2972.0,488.0,7839.0,14347.0,1088.0,3314.0,5154551.0,5195745.0,2021
Total,South Australia,323.0,2497.0,1322.0,659.0,255.0,2352.0,4530.0,127.0,501.0,1760688.0,1773257.0,2021
Total,Western Australia,2322.0,1604.0,2143.0,637.0,110.0,2935.0,5334.0,430.0,1027.0,2652822.0,2669363.0,2021
Total,Tasmania,231.0,535.0,588.0,257.0,29.0,709.0,1433.0,79.0,240.0,548765.0,552867.0,2021
Total,Northern Territory,666.0,1815.0,670.0,67.0,42.0,9904.0,5060.0,156.0,218.0,242719.0,261309.0,2021
Total,Australian Capital Territory,59.0,867.0,274.0,134.0,6.0,447.0,1024.0,0.0,26.0,449481.0,452302.0,2021
Total,Other Territories,0.0,0.0,4.0,0.0,0.0,7.0,18.0,0.0,0.0,5394.0,5425.0,2021
Household with Aboriginal and/or Torres Strait Islander person(s),New South Wales,94.0,900.0,444.0,41.0,0.0,1052.0,2123.0,138.0,244.0,297243.0,302272.0,2016
Household with Aboriginal and/or Torres Strait Islander person(s),Victoria,14.0,464.0,86.0,28.0,0.0,235.0,347.0,23.0,52.0,70741.0,71989.0,2016
Household with Aboriginal and/or Torres Strait Islander person(s),Queensland,96.0,464.0,345.0,25.0,0.0,3201.0,3194.0,183.0,333.0,240862.0,248686.0,2016
Household with Aboriginal and/or Torres Strait Islander person(s),South Australia,7.0,308.0,93.0,15.0,0.0,419.0,512.0,4.0,17.0,43504.0,44881.0,2016
Household with Aboriginal and/or Torres Strait Islander person(s),Western Australia,84.0,72.0,181.0,88.0,0.0,1866.0,1667.0,20.0,50.0,85026.0,89053.0,2016
Household with Aboriginal and/or Torres Strait Islander person(s),Tasmania,0.0,66.0,29.0,17.0,0.0,50.0,77.0,3.0,17.0,33479.0,33749.0,2016
Household with Aboriginal and/or Torres Strait Islander person(s),Northern Territory,273.0,54.0,52.0,5.0,0.0,10757.0,4413.0,54.0,28.0,41539.0,57170.0,2016
Household with Aboriginal and/or Torres Strait Islander person(s),Australian Capital Territory,5.0,66.0,15.0,0.0,0.0,4.0,40.0,0.0,4.0,9467.0,9601.0,2016
Household with Aboriginal and/or Torres Strait Islander person(s),Other Territories,0.0,0.0,0.0,0.0,0.0,7.0,26.0,0.0,0.0,207.0,243.0,2016
Other Households,New South Wales,724.0,2791.0,4451.0,660.0,0.0,15770.0,30386.0,1617.0,2689.0,6498526.0,6557628.0,2016
Other Households,Victoria,208.0,3486.0,2680.0,1443.0,0.0,8695.0,19434.0,424.0,1802.0,5324840.0,5363012.0,2016
Other Households,Queensland,742.0,1484.0,3983.0,628.0,0.0,4407.0,9317.0,1545.0,3600.0,3995697.0,4021401.0,2016
Other Households,South Australia,111.0,445.0,1073.0,122.0,0.0,1726.0,3288.0,255.0,383.0,1486628.0,1494028.0,2016
Other Households,Western Australia,278.0,80.0,1503.0,267.0,0.0,2000.0,4119.0,751.0,958.0,2118286.0,2128250.0,2016
Other Households,Tasmania,51.0,254.0,399.0,26.0,0.0,210.0,599.0,130.0,117.0,425176.0,426962.0,2016
Other Households,Northern Territory,164.0,52.0,281.0,22.0,0.0,309.0,696.0,226.0,234.0,133000.0,134985.0,2016
Other Households,Australian Capital Territory,6.0,344.0,242.0,20.0,0.0,366.0,660.0,0.0,39.0,348746.0,350429.0,2016
Other Households,Other Territories,4.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3185.0,3204.0,2016
Not applicable,New South Wales,1767.0,2160.0,474.0,6146.0,219.0,0.0,0.0,11.0,61.0,598297.0,609132.0,2016
Not applicable,Victoria,903.0,3220.0,317.0,2943.0,108.0,0.0,0.0,0.0,5.0,430443.0,437934.0,2016
Not applicable,Queensland,901.0,1781.0,503.0,2958.0,213.0,0.0,0.0,17.0,21.0,484121.0,490513.0,2016
Not applicable,South Australia,266.0,670.0,138.0,774.0,34.0,0.0,0.0,8.0,5.0,119621.0,121519.0,2016
Not applicable,Western Australia,716.0,907.0,282.0,646.0,47.0,0.0,0.0,8.0,18.0,266678.0,269303.0,2016
Not applicable,Tasmania,85.0,255.0,57.0,92.0,21.0,0.0,0.0,0.0,0.0,39986.0,40495.0,2016
Not applicable,Northern Territory,660.0,537.0,84.0,460.0,21.0,0.0,0.0,8.0,5.0,56205.0,57985.0,2016
Not applicable,Australian Capital Territory,38.0,388.0,23.0,78.0,7.0,0.0,0.0,0.0,0.0,35205.0,35735.0,2016
Not applicable,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1745.0,1745.0,2016
