MAID MORTGAGE AFFORDABILITY INDICATOR,STATE,NEGATIVE INCOME,NIL INCOME,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 OR MORE ($416,000 OR MORE)",PARTIAL INCOME STATED,ALL INCOMES NOT STATED,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Households where mortgage repayments are less than or equal to 30% of household income,New South Wales,635.0,1807.0,492.0,851.0,1632.0,5745.0,4854.0,14326.0,20502.0,38381.0,64410.0,78399.0,102366.0,298427.0,281728.0,285421.0,212753.0,134916.0,205420.0,192495.0,185552.0,71488.0,0.0,0.0,0.0,2202580.0,2021
Households where mortgage repayments are less than or equal to 30% of household income,Victoria,558.0,1637.0,461.0,928.0,1755.0,5860.0,5232.0,14539.0,23927.0,44981.0,79351.0,98132.0,120763.0,317655.0,278979.0,258240.0,179169.0,104581.0,157401.0,138371.0,120539.0,40385.0,0.0,0.0,0.0,1993450.0,2021
Households where mortgage repayments are less than or equal to 30% of household income,Queensland,358.0,917.0,298.0,598.0,1064.0,4263.0,3569.0,11070.0,17445.0,33885.0,59705.0,72023.0,90482.0,244176.0,219061.0,204974.0,144846.0,85214.0,119670.0,100850.0,77647.0,24365.0,0.0,0.0,0.0,1516490.0,2021
Households where mortgage repayments are less than or equal to 30% of household income,South Australia,89.0,257.0,128.0,245.0,694.0,2677.0,2261.0,7142.0,11289.0,20525.0,32599.0,35706.0,40708.0,100531.0,84629.0,70852.0,46559.0,26202.0,32104.0,26680.0,20407.0,6199.0,0.0,0.0,0.0,568482.0,2021
Households where mortgage repayments are less than or equal to 30% of household income,Western Australia,163.0,538.0,185.0,344.0,685.0,2487.0,1920.0,5781.0,8669.0,17238.0,30240.0,39344.0,48709.0,133010.0,118433.0,115486.0,78749.0,44694.0,74847.0,64809.0,47460.0,14189.0,0.0,0.0,0.0,847979.0,2021
Households where mortgage repayments are less than or equal to 30% of household income,Tasmania,36.0,49.0,21.0,67.0,167.0,973.0,797.0,2511.0,3936.0,7109.0,11256.0,11781.0,12911.0,30507.0,24758.0,19649.0,12705.0,6863.0,7911.0,6164.0,4132.0,1344.0,0.0,0.0,0.0,165642.0,2021
Households where mortgage repayments are less than or equal to 30% of household income,Northern Territory,11.0,10.0,12.0,14.0,23.0,69.0,65.0,111.0,283.0,677.0,1058.0,1345.0,2018.0,6389.0,6569.0,7144.0,5792.0,3780.0,5071.0,4087.0,3609.0,920.0,0.0,0.0,0.0,49053.0,2021
Households where mortgage repayments are less than or equal to 30% of household income,Australian Capital Territory,25.0,51.0,6.0,7.0,43.0,144.0,132.0,342.0,599.0,1366.0,2692.0,4299.0,5513.0,17909.0,16598.0,21040.0,19739.0,12514.0,22218.0,16925.0,18752.0,5558.0,0.0,0.0,0.0,166485.0,2021
Households where mortgage repayments are less than or equal to 30% of household income,Other Territories,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,29.0,23.0,37.0,43.0,78.0,111.0,77.0,62.0,54.0,21.0,18.0,26.0,0.0,0.0,0.0,0.0,0.0,578.0,2021
Households where mortgage repayments are more than 30% of household income,New South Wales,1952.0,8174.0,2735.0,4380.0,5916.0,10969.0,14543.0,24777.0,32996.0,46880.0,54087.0,43549.0,39109.0,66154.0,36120.0,25268.0,12754.0,6579.0,16219.0,9201.0,7556.0,0.0,0.0,0.0,0.0,469917.0,2021
Households where mortgage repayments are more than 30% of household income,Victoria,1952.0,8247.0,3139.0,5127.0,6514.0,11732.0,15847.0,25759.0,35033.0,47132.0,47798.0,32950.0,25658.0,40139.0,20658.0,14249.0,6812.0,3334.0,8165.0,4853.0,3442.0,0.0,0.0,0.0,0.0,368547.0,2021
Households where mortgage repayments are more than 30% of household income,Queensland,1120.0,4145.0,1737.0,2886.0,3703.0,7318.0,9081.0,14960.0,19699.0,25425.0,24441.0,16656.0,13540.0,19904.0,10037.0,6765.0,3145.0,1487.0,3485.0,1876.0,1274.0,0.0,0.0,0.0,0.0,192681.0,2021
Households where mortgage repayments are more than 30% of household income,South Australia,423.0,1605.0,696.0,1482.0,1964.0,4057.0,4610.0,7114.0,8882.0,9821.0,7983.0,5063.0,4152.0,5992.0,2960.0,1862.0,891.0,425.0,899.0,587.0,404.0,0.0,0.0,0.0,0.0,71863.0,2021
Households where mortgage repayments are more than 30% of household income,Western Australia,653.0,2591.0,1054.0,1861.0,2500.0,4423.0,5767.0,8803.0,11742.0,16298.0,15537.0,11158.0,8818.0,12997.0,6996.0,4926.0,2163.0,1013.0,2805.0,1541.0,1044.0,0.0,0.0,0.0,0.0,124682.0,2021
Households where mortgage repayments are more than 30% of household income,Tasmania,105.0,344.0,153.0,300.0,496.0,1001.0,1269.0,1705.0,2170.0,2183.0,1716.0,1155.0,824.0,1236.0,652.0,440.0,173.0,49.0,132.0,80.0,59.0,0.0,0.0,0.0,0.0,16260.0,2021
Households where mortgage repayments are more than 30% of household income,Northern Territory,23.0,104.0,39.0,62.0,71.0,197.0,181.0,263.0,413.0,701.0,719.0,591.0,457.0,852.0,387.0,388.0,203.0,68.0,108.0,58.0,9.0,0.0,0.0,0.0,0.0,5886.0,2021
Households where mortgage repayments are more than 30% of household income,Australian Capital Territory,40.0,261.0,90.0,112.0,131.0,255.0,422.0,655.0,993.0,1492.0,1719.0,1690.0,1258.0,2321.0,1183.0,987.0,570.0,334.0,591.0,252.0,246.0,0.0,0.0,0.0,0.0,15595.0,2021
Households where mortgage repayments are more than 30% of household income,Other Territories,0.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,12.0,18.0,4.0,8.0,7.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,2021
Unable to be determined,New South Wales,566.0,1366.0,458.0,620.0,837.0,1595.0,1811.0,3300.0,4407.0,6533.0,8123.0,7552.0,8620.0,20090.0,16550.0,15194.0,10908.0,7374.0,10522.0,10156.0,9961.0,4156.0,143477.0,15386.0,0.0,309550.0,2021
Unable to be determined,Victoria,647.0,1495.0,474.0,668.0,813.0,1735.0,1881.0,3543.0,4635.0,6369.0,8269.0,8232.0,8169.0,19396.0,15586.0,13422.0,8712.0,5446.0,8387.0,7399.0,6085.0,2428.0,118555.0,15709.0,0.0,268069.0,2021
Unable to be determined,Queensland,370.0,756.0,227.0,377.0,443.0,1084.0,1150.0,2220.0,2678.0,3873.0,5306.0,5110.0,5395.0,12816.0,10371.0,9012.0,6120.0,3750.0,5299.0,4875.0,3655.0,1241.0,125363.0,10543.0,0.0,222035.0,2021
Unable to be determined,South Australia,83.0,189.0,90.0,160.0,213.0,505.0,433.0,886.0,1086.0,1487.0,1965.0,1611.0,1823.0,4068.0,3292.0,2865.0,1686.0,1027.0,1377.0,1163.0,807.0,344.0,40976.0,3253.0,0.0,71384.0,2021
Unable to be determined,Western Australia,175.0,419.0,152.0,243.0,271.0,605.0,691.0,995.0,1345.0,2049.0,2451.0,2303.0,2699.0,6856.0,5492.0,5255.0,3272.0,1988.0,3375.0,2992.0,2478.0,847.0,101309.0,5395.0,0.0,153656.0,2021
Unable to be determined,Tasmania,28.0,33.0,21.0,37.0,50.0,178.0,114.0,328.0,301.0,473.0,573.0,548.0,589.0,1084.0,882.0,749.0,423.0,222.0,255.0,220.0,122.0,65.0,13272.0,785.0,0.0,21349.0,2021
Unable to be determined,Northern Territory,9.0,10.0,17.0,18.0,17.0,16.0,12.0,19.0,66.0,91.0,86.0,97.0,143.0,398.0,257.0,292.0,267.0,188.0,148.0,159.0,158.0,63.0,6068.0,281.0,0.0,8868.0,2021
Unable to be determined,Australian Capital Territory,9.0,35.0,14.0,10.0,17.0,13.0,61.0,84.0,91.0,180.0,265.0,252.0,323.0,756.0,729.0,747.0,684.0,435.0,693.0,489.0,642.0,230.0,7465.0,477.0,0.0,14696.0,2021
Unable to be determined,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,8.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,57.0,6.0,0.0,91.0,2021
Not applicable,New South Wales,19571.0,68279.0,28399.0,46669.0,78033.0,197196.0,161885.0,286599.0,277834.0,325742.0,351085.0,258704.0,252789.0,505695.0,333680.0,276593.0,180521.0,111317.0,177489.0,145667.0,136750.0,65698.0,215897.0,90558.0,477836.0,5070480.0,2021
Not applicable,Victoria,15104.0,57288.0,24495.0,38913.0,60092.0,155444.0,126158.0,222737.0,222106.0,256546.0,275552.0,203445.0,195770.0,384355.0,253945.0,202154.0,127789.0,78120.0,119513.0,98580.0,83613.0,38942.0,164139.0,71817.0,353296.0,3829924.0,2021
Not applicable,Queensland,11168.0,36605.0,18406.0,28804.0,48084.0,127274.0,115461.0,204379.0,203027.0,232978.0,250129.0,179557.0,172448.0,326830.0,203560.0,150932.0,91147.0,52154.0,77235.0,59556.0,48005.0,24291.0,159033.0,62424.0,381053.0,3264542.0,2021
Not applicable,South Australia,3711.0,11954.0,6616.0,12288.0,21092.0,56814.0,45538.0,78716.0,76633.0,83779.0,86234.0,57808.0,54177.0,97691.0,61344.0,44067.0,26658.0,15170.0,21608.0,17046.0,14032.0,7273.0,45249.0,19352.0,96669.0,1061528.0,2021
Not applicable,Western Australia,5207.0,17949.0,9113.0,16258.0,25476.0,62140.0,52857.0,88632.0,85147.0,97927.0,100620.0,73978.0,71134.0,139922.0,88892.0,75881.0,45897.0,26417.0,49791.0,37321.0,31177.0,15262.0,89422.0,28717.0,207921.0,1543044.0,2021
Not applicable,Tasmania,1134.0,3178.0,2088.0,3924.0,7234.0,20806.0,16511.0,29142.0,26396.0,27671.0,28584.0,18812.0,17325.0,30470.0,18728.0,13290.0,8061.0,4755.0,6102.0,4672.0,3472.0,2092.0,15271.0,6500.0,33392.0,349618.0,2021
Not applicable,Northern Territory,455.0,1251.0,1060.0,2330.0,2591.0,5099.0,4181.0,7224.0,8285.0,10418.0,11257.0,9369.0,9290.0,18450.0,12548.0,9999.0,6787.0,3675.0,5353.0,3909.0,3251.0,1442.0,14226.0,5700.0,39334.0,197502.0,2021
Not applicable,Australian Capital Territory,348.0,1892.0,948.0,1640.0,2735.0,6244.0,5426.0,8259.0,9176.0,12255.0,15303.0,13311.0,13159.0,29365.0,20293.0,18493.0,12936.0,8371.0,13103.0,9931.0,10334.0,4008.0,10354.0,2193.0,25446.0,255529.0,2021
Not applicable,Other Territories,13.0,20.0,26.0,28.0,59.0,121.0,93.0,155.0,161.0,179.0,204.0,169.0,178.0,338.0,263.0,220.0,154.0,79.0,109.0,42.0,75.0,13.0,218.0,119.0,1634.0,4668.0,2021
Total,New South Wales,22726.0,79635.0,32078.0,52520.0,86414.0,215499.0,183085.0,329007.0,335735.0,417531.0,477698.0,388194.0,402890.0,890365.0,668083.0,602476.0,416930.0,260184.0,409648.0,357519.0,339819.0,141342.0,359370.0,105940.0,477836.0,8052530.0,2021
Total,Victoria,18256.0,68668.0,28569.0,45635.0,69176.0,174768.0,149121.0,266580.0,285705.0,355033.0,410976.0,342757.0,350358.0,761550.0,569168.0,488072.0,322477.0,191479.0,293475.0,249213.0,213678.0,81753.0,282694.0,87523.0,353296.0,6459990.0,2021
Total,Queensland,13016.0,42424.0,20673.0,32668.0,53294.0,139939.0,129260.0,232629.0,242843.0,296164.0,339576.0,273346.0,281857.0,603728.0,443033.0,371683.0,245258.0,142610.0,205682.0,167163.0,130573.0,49892.0,284396.0,72969.0,381053.0,5195745.0,2021
Total,South Australia,4311.0,14011.0,7530.0,14181.0,23964.0,64055.0,52840.0,93853.0,97890.0,115615.0,128783.0,100190.0,100866.0,208281.0,152232.0,119641.0,75790.0,42825.0,55983.0,45475.0,35650.0,13809.0,86225.0,22602.0,96669.0,1773257.0,2021
Total,Western Australia,6190.0,21490.0,10501.0,18706.0,28927.0,69661.0,61226.0,104216.0,106904.0,133512.0,148848.0,126788.0,131358.0,292787.0,219809.0,201541.0,130078.0,74112.0,130822.0,106658.0,82159.0,30295.0,190735.0,34115.0,207921.0,2669363.0,2021
Total,Tasmania,1304.0,3613.0,2284.0,4329.0,7950.0,22967.0,18699.0,33687.0,32794.0,37433.0,42131.0,32300.0,31646.0,63291.0,45025.0,34124.0,21362.0,11895.0,14404.0,11135.0,7785.0,3493.0,28541.0,7284.0,33392.0,552867.0,2021
Total,Northern Territory,488.0,1381.0,1119.0,2423.0,2699.0,5384.0,4447.0,7629.0,9048.0,11890.0,13112.0,11398.0,11905.0,26082.0,19760.0,17827.0,13044.0,7706.0,10683.0,8214.0,7033.0,2421.0,20290.0,5983.0,39334.0,261309.0,2021
Total,Australian Capital Territory,426.0,2236.0,1062.0,1772.0,2924.0,6658.0,6039.0,9342.0,10865.0,15294.0,19982.0,19546.0,20249.0,50358.0,38802.0,41258.0,33924.0,21655.0,36603.0,27600.0,29974.0,9805.0,17815.0,2674.0,25446.0,452302.0,2021
Total,Other Territories,13.0,20.0,27.0,28.0,64.0,124.0,102.0,169.0,202.0,225.0,260.0,222.0,266.0,455.0,335.0,282.0,203.0,102.0,124.0,71.0,75.0,13.0,276.0,126.0,1634.0,5425.0,2021
