RAID RENT AFFORDABILITY INDICATOR,STATE,NEGATIVE INCOME,NIL INCOME,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 OR MORE ($416,000 OR MORE)",PARTIAL INCOME STATED,ALL INCOMES NOT STATED,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Households where rent payments are less than or equal to 30% of household income,New South Wales,0.0,0.0,37.0,522.0,6753.0,16606.0,10161.0,21771.0,29562.0,48308.0,91290.0,98290.0,111321.0,269000.0,182186.0,150327.0,95452.0,55922.0,85800.0,62237.0,53117.0,16716.0,0.0,0.0,0.0,1405373.0,2021
Households where rent payments are less than or equal to 30% of household income,Victoria,0.0,0.0,26.0,393.0,4086.0,10501.0,8246.0,14918.0,24658.0,48102.0,98321.0,96515.0,95322.0,205705.0,132663.0,102645.0,62294.0,36972.0,52253.0,37959.0,28358.0,8374.0,0.0,0.0,0.0,1068305.0,2021
Households where rent payments are less than or equal to 30% of household income,Queensland,0.0,0.0,22.0,564.0,4233.0,10266.0,8240.0,16699.0,27298.0,51658.0,95447.0,94797.0,96014.0,199976.0,123899.0,86792.0,50019.0,27578.0,35562.0,24726.0,15679.0,4940.0,0.0,0.0,0.0,974391.0,2021
Households where rent payments are less than or equal to 30% of household income,South Australia,0.0,0.0,9.0,277.0,2785.0,7035.0,4419.0,8812.0,13656.0,24238.0,35360.0,28419.0,26570.0,50823.0,29820.0,19686.0,10984.0,5941.0,7420.0,4895.0,3467.0,1088.0,0.0,0.0,0.0,285708.0,2021
Households where rent payments are less than or equal to 30% of household income,Western Australia,0.0,0.0,31.0,262.0,1471.0,5844.0,3943.0,7999.0,11675.0,23054.0,39342.0,36420.0,35257.0,75435.0,46533.0,38381.0,22202.0,12483.0,21151.0,14230.0,10166.0,3173.0,0.0,0.0,0.0,409041.0,2021
Households where rent payments are less than or equal to 30% of household income,Tasmania,0.0,0.0,0.0,74.0,743.0,1845.0,1583.0,3021.0,5242.0,7469.0,10618.0,8326.0,7817.0,14424.0,8216.0,5434.0,3288.0,1885.0,1893.0,1373.0,717.0,295.0,0.0,0.0,0.0,84264.0,2021
Households where rent payments are less than or equal to 30% of household income,Northern Territory,0.0,0.0,21.0,504.0,801.0,1887.0,1632.0,2910.0,3760.0,4813.0,5872.0,5643.0,5686.0,11664.0,8219.0,6046.0,4151.0,2266.0,2854.0,2022.0,1397.0,441.0,0.0,0.0,0.0,72593.0,2021
Households where rent payments are less than or equal to 30% of household income,Australian Capital Territory,0.0,0.0,0.0,95.0,662.0,1747.0,1190.0,1671.0,1667.0,2052.0,3588.0,5022.0,6032.0,16488.0,12149.0,10745.0,7438.0,4703.0,6438.0,4388.0,3809.0,1007.0,0.0,0.0,0.0,90881.0,2021
Households where rent payments are less than or equal to 30% of household income,Other Territories,0.0,0.0,0.0,0.0,5.0,21.0,15.0,45.0,46.0,90.0,84.0,73.0,84.0,183.0,150.0,123.0,70.0,40.0,27.0,27.0,29.0,0.0,0.0,0.0,0.0,1114.0,2021
Households where rent payments are more than 30% of household income,New South Wales,7312.0,26142.0,7501.0,19424.0,32903.0,52725.0,73075.0,88665.0,96395.0,108857.0,88771.0,46868.0,29739.0,31364.0,9138.0,5420.0,2381.0,888.0,4613.0,1289.0,1005.0,377.0,0.0,0.0,0.0,734829.0,2021
Households where rent payments are more than 30% of household income,Victoria,4594.0,20353.0,6057.0,14686.0,22827.0,35109.0,51727.0,61635.0,68397.0,67822.0,36057.0,13333.0,8310.0,9586.0,3366.0,1747.0,665.0,333.0,1098.0,519.0,217.0,68.0,0.0,0.0,0.0,428509.0,2021
Households where rent payments are more than 30% of household income,Queensland,3626.0,11960.0,4403.0,11190.0,18849.0,33220.0,53672.0,64054.0,69682.0,67399.0,43546.0,16221.0,8769.0,7626.0,1986.0,886.0,275.0,170.0,488.0,84.0,81.0,24.0,0.0,0.0,0.0,418204.0,2021
Households where rent payments are more than 30% of household income,South Australia,1210.0,4342.0,1898.0,5454.0,8282.0,13071.0,18464.0,19617.0,17852.0,12936.0,5302.0,1651.0,806.0,605.0,176.0,106.0,33.0,0.0,33.0,15.0,0.0,10.0,0.0,0.0,0.0,111858.0,2021
Households where rent payments are more than 30% of household income,Western Australia,1599.0,5087.0,2000.0,6025.0,10798.0,15133.0,22254.0,24296.0,24337.0,20979.0,9655.0,3403.0,1857.0,2098.0,622.0,380.0,149.0,39.0,361.0,57.0,51.0,6.0,0.0,0.0,0.0,151206.0,2021
Households where rent payments are more than 30% of household income,Tasmania,325.0,994.0,550.0,1564.0,2596.0,5187.0,7065.0,7099.0,5632.0,4415.0,2320.0,834.0,433.0,351.0,73.0,43.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,39496.0,2021
Households where rent payments are more than 30% of household income,Northern Territory,180.0,345.0,549.0,1122.0,777.0,971.0,1123.0,1216.0,1436.0,1666.0,1304.0,757.0,344.0,273.0,98.0,35.0,37.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,12240.0,2021
Households where rent payments are more than 30% of household income,Australian Capital Territory,125.0,824.0,363.0,865.0,1000.0,1374.0,1706.0,2004.0,2580.0,3907.0,4139.0,2410.0,1424.0,1215.0,266.0,174.0,96.0,8.0,47.0,17.0,10.0,0.0,0.0,0.0,0.0,24546.0,2021
Households where rent payments are more than 30% of household income,Other Territories,6.0,3.0,4.0,4.0,18.0,30.0,12.0,20.0,22.0,11.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,2021
Unable to be determined,New South Wales,1616.0,3260.0,759.0,1495.0,2025.0,3024.0,2538.0,3354.0,3746.0,4302.0,4691.0,3750.0,3400.0,6665.0,4195.0,3076.0,2054.0,1348.0,1917.0,1364.0,1131.0,597.0,108166.0,25231.0,0.0,193703.0,2021
Unable to be determined,Victoria,1057.0,2907.0,645.0,1109.0,1452.0,2265.0,2036.0,2744.0,2978.0,3368.0,3745.0,2671.0,2345.0,5016.0,2991.0,2341.0,1417.0,946.0,1192.0,833.0,631.0,364.0,76614.0,16204.0,0.0,137871.0,2021
Unable to be determined,Queensland,803.0,1723.0,473.0,892.0,1229.0,1787.0,1654.0,2298.0,2509.0,2812.0,3173.0,2246.0,2217.0,3905.0,2633.0,1690.0,1137.0,658.0,897.0,650.0,537.0,258.0,92312.0,16572.0,0.0,145065.0,2021
Unable to be determined,South Australia,293.0,619.0,235.0,392.0,485.0,755.0,596.0,726.0,898.0,897.0,1028.0,705.0,588.0,1013.0,653.0,455.0,278.0,160.0,206.0,160.0,134.0,65.0,22569.0,5597.0,0.0,39520.0,2021
Unable to be determined,Western Australia,362.0,812.0,288.0,518.0,638.0,851.0,758.0,937.0,1011.0,1177.0,1252.0,1082.0,1053.0,1966.0,1326.0,1201.0,728.0,439.0,812.0,578.0,384.0,149.0,48977.0,7002.0,0.0,74314.0,2021
Unable to be determined,Tasmania,56.0,153.0,36.0,108.0,151.0,221.0,228.0,284.0,277.0,283.0,320.0,226.0,234.0,404.0,184.0,126.0,95.0,55.0,85.0,57.0,27.0,39.0,7001.0,1868.0,0.0,12508.0,2021
Unable to be determined,Northern Territory,38.0,100.0,58.0,66.0,135.0,336.0,143.0,226.0,303.0,388.0,332.0,274.0,325.0,619.0,428.0,371.0,244.0,155.0,144.0,145.0,87.0,42.0,10380.0,1575.0,0.0,16896.0,2021
Unable to be determined,Australian Capital Territory,40.0,165.0,53.0,58.0,105.0,121.0,142.0,137.0,146.0,194.0,190.0,134.0,133.0,320.0,231.0,254.0,129.0,109.0,154.0,99.0,93.0,62.0,5957.0,690.0,0.0,9723.0,2021
Unable to be determined,Other Territories,0.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,3.0,6.0,5.0,13.0,9.0,4.0,16.0,9.0,12.0,0.0,7.0,0.0,8.0,0.0,125.0,12.0,0.0,254.0,2021
Not applicable,New South Wales,13795.0,50228.0,23785.0,31085.0,44743.0,143152.0,97318.0,215215.0,206037.0,256060.0,292949.0,239286.0,258433.0,583332.0,472568.0,443645.0,317044.0,202030.0,317306.0,292623.0,284571.0,123655.0,251206.0,80710.0,477836.0,5718621.0,2021
Not applicable,Victoria,12607.0,45409.0,21852.0,29442.0,40811.0,126886.0,87113.0,187278.0,189671.0,235743.0,272852.0,230244.0,244382.0,541241.0,430150.0,381342.0,258099.0,153226.0,238929.0,209893.0,184477.0,72948.0,206088.0,71321.0,353296.0,4825310.0,2021
Not applicable,Queensland,8591.0,28744.0,15775.0,20029.0,28987.0,94676.0,65696.0,149581.0,143361.0,174301.0,197419.0,160085.0,174860.0,392223.0,314511.0,282319.0,193828.0,114201.0,168738.0,141703.0,114275.0,44672.0,192083.0,56398.0,381053.0,3658091.0,2021
Not applicable,South Australia,2806.0,9047.0,5384.0,8054.0,12411.0,43194.0,29363.0,64692.0,65483.0,77545.0,87091.0,69409.0,72907.0,155836.0,121580.0,99392.0,64497.0,36717.0,48330.0,40404.0,32056.0,12647.0,63657.0,17004.0,96669.0,1336170.0,2021
Not applicable,Western Australia,4226.0,15587.0,8182.0,11898.0,16013.0,47826.0,34271.0,70976.0,69876.0,88302.0,98599.0,85878.0,93190.0,213280.0,171334.0,161579.0,107007.0,61152.0,108495.0,91794.0,71562.0,26960.0,141757.0,27108.0,207921.0,2034796.0,2021
Not applicable,Tasmania,920.0,2464.0,1696.0,2592.0,4458.0,15705.0,9820.0,23280.0,21648.0,25273.0,28866.0,22913.0,23166.0,48112.0,36546.0,28528.0,17974.0,9945.0,12423.0,9710.0,7046.0,3165.0,21540.0,5415.0,33392.0,416591.0,2021
Not applicable,Northern Territory,276.0,937.0,492.0,736.0,983.0,2183.0,1549.0,3277.0,3550.0,5025.0,5603.0,4722.0,5550.0,13529.0,11021.0,11378.0,8613.0,5276.0,7676.0,6051.0,5550.0,1946.0,9912.0,4414.0,39334.0,159581.0,2021
Not applicable,Australian Capital Territory,251.0,1251.0,644.0,751.0,1160.0,3410.0,3007.0,5521.0,6462.0,9139.0,12071.0,11991.0,12665.0,32333.0,26150.0,30091.0,26257.0,16832.0,29963.0,23093.0,26063.0,8743.0,11861.0,1986.0,25446.0,327154.0,2021
Not applicable,Other Territories,9.0,19.0,24.0,19.0,32.0,77.0,70.0,98.0,133.0,125.0,165.0,136.0,170.0,263.0,181.0,151.0,122.0,59.0,90.0,41.0,32.0,9.0,151.0,112.0,1634.0,3915.0,2021
Total,New South Wales,22726.0,79635.0,32078.0,52520.0,86414.0,215499.0,183085.0,329007.0,335735.0,417531.0,477698.0,388194.0,402890.0,890365.0,668083.0,602476.0,416930.0,260184.0,409648.0,357519.0,339819.0,141342.0,359370.0,105940.0,477836.0,8052530.0,2021
Total,Victoria,18256.0,68668.0,28569.0,45635.0,69176.0,174768.0,149121.0,266580.0,285705.0,355033.0,410976.0,342757.0,350358.0,761550.0,569168.0,488072.0,322477.0,191479.0,293475.0,249213.0,213678.0,81753.0,282694.0,87523.0,353296.0,6459990.0,2021
Total,Queensland,13016.0,42424.0,20673.0,32668.0,53294.0,139939.0,129260.0,232629.0,242843.0,296164.0,339576.0,273346.0,281857.0,603728.0,443033.0,371683.0,245258.0,142610.0,205682.0,167163.0,130573.0,49892.0,284396.0,72969.0,381053.0,5195745.0,2021
Total,South Australia,4311.0,14011.0,7530.0,14181.0,23964.0,64055.0,52840.0,93853.0,97890.0,115615.0,128783.0,100190.0,100866.0,208281.0,152232.0,119641.0,75790.0,42825.0,55983.0,45475.0,35650.0,13809.0,86225.0,22602.0,96669.0,1773257.0,2021
Total,Western Australia,6190.0,21490.0,10501.0,18706.0,28927.0,69661.0,61226.0,104216.0,106904.0,133512.0,148848.0,126788.0,131358.0,292787.0,219809.0,201541.0,130078.0,74112.0,130822.0,106658.0,82159.0,30295.0,190735.0,34115.0,207921.0,2669363.0,2021
Total,Tasmania,1304.0,3613.0,2284.0,4329.0,7950.0,22967.0,18699.0,33687.0,32794.0,37433.0,42131.0,32300.0,31646.0,63291.0,45025.0,34124.0,21362.0,11895.0,14404.0,11135.0,7785.0,3493.0,28541.0,7284.0,33392.0,552867.0,2021
Total,Northern Territory,488.0,1381.0,1119.0,2423.0,2699.0,5384.0,4447.0,7629.0,9048.0,11890.0,13112.0,11398.0,11905.0,26082.0,19760.0,17827.0,13044.0,7706.0,10683.0,8214.0,7033.0,2421.0,20290.0,5983.0,39334.0,261309.0,2021
Total,Australian Capital Territory,426.0,2236.0,1062.0,1772.0,2924.0,6658.0,6039.0,9342.0,10865.0,15294.0,19982.0,19546.0,20249.0,50358.0,38802.0,41258.0,33924.0,21655.0,36603.0,27600.0,29974.0,9805.0,17815.0,2674.0,25446.0,452302.0,2021
Total,Other Territories,13.0,20.0,27.0,28.0,64.0,124.0,102.0,169.0,202.0,225.0,260.0,222.0,266.0,455.0,335.0,282.0,203.0,102.0,124.0,71.0,75.0,13.0,276.0,126.0,1634.0,5425.0,2021
